,Wavelength,n,k,comp
587,779,2.039378,0.0,(2.039378+0j)
588,780,2.039246,0.0,(2.039246+0j)
589,781,2.039115,0.0,(2.039115+0j)
590,782,2.038985,0.0,(2.038985+0j)
591,783,2.038854,0.0,(2.038854+0j)
592,784,2.038725,0.0,(2.038725+0j)
593,785,2.038596,0.0,(2.038596+0j)
594,786,2.038468,0.0,(2.038468+0j)
595,787,2.03834,0.0,(2.03834+0j)
596,788,2.038213,0.0,(2.038213+0j)
597,789,2.038086,0.0,(2.038086+0j)
598,790,2.03796,0.0,(2.03796+0j)
599,791,2.037834,0.0,(2.037834+0j)
600,792,2.037709,0.0,(2.037709+0j)
601,793,2.037585,0.0,(2.037585+0j)
602,794,2.037461,0.0,(2.037461+0j)
603,795,2.037338,0.0,(2.037338+0j)
604,796,2.037215,0.0,(2.037215+0j)
605,797,2.037093,0.0,(2.037093+0j)
606,798,2.036971,0.0,(2.036971+0j)
607,799,2.03685,0.0,(2.03685+0j)
608,800,2.036729,0.0,(2.036729+0j)
609,801,2.036609,0.0,(2.036609+0j)
610,802,2.036489,0.0,(2.036489+0j)
611,803,2.03637,0.0,(2.03637+0j)
612,804,2.036251,0.0,(2.036251+0j)
613,805,2.036133,0.0,(2.036133+0j)
614,806,2.036016,0.0,(2.036016+0j)
615,807,2.035899,0.0,(2.035899+0j)
616,808,2.035782,0.0,(2.035782+0j)
617,809,2.035666,0.0,(2.035666+0j)
618,810,2.03555,0.0,(2.03555+0j)
619,811,2.035435,0.0,(2.035435+0j)
620,812,2.035321,0.0,(2.035321+0j)
621,813,2.035206,0.0,(2.035206+0j)
622,814,2.035093,0.0,(2.035093+0j)
623,815,2.03498,0.0,(2.03498+0j)
624,816,2.034867,0.0,(2.034867+0j)
625,817,2.034755,0.0,(2.034755+0j)
626,818,2.034643,0.0,(2.034643+0j)
627,819,2.034532,0.0,(2.034532+0j)
628,820,2.034421,0.0,(2.034421+0j)
629,821,2.03431,0.0,(2.03431+0j)
630,822,2.0342,0.0,(2.0342+0j)
631,823,2.034091,0.0,(2.034091+0j)
632,824,2.033982,0.0,(2.033982+0j)
633,825,2.033873,0.0,(2.033873+0j)
634,826,2.033765,0.0,(2.033765+0j)
635,827,2.033658,0.0,(2.033658+0j)
636,828,2.033551,0.0,(2.033551+0j)
637,829,2.033444,0.0,(2.033444+0j)
638,830,2.033337,0.0,(2.033337+0j)
639,831,2.033231,0.0,(2.033231+0j)
640,832,2.033126,0.0,(2.033126+0j)
641,833,2.033021,0.0,(2.033021+0j)
642,834,2.032916,0.0,(2.032916+0j)
643,835,2.032812,0.0,(2.032812+0j)
644,836,2.032708,0.0,(2.032708+0j)
645,837,2.032605,0.0,(2.032605+0j)
646,838,2.032502,0.0,(2.032502+0j)
647,839,2.0324,0.0,(2.0324+0j)
648,840,2.032298,0.0,(2.032298+0j)
649,841,2.032196,0.0,(2.032196+0j)
650,842,2.032095,0.0,(2.032095+0j)
651,843,2.031994,0.0,(2.031994+0j)
652,844,2.031893,0.0,(2.031893+0j)
653,845,2.031794,0.0,(2.031794+0j)
654,846,2.031694,0.0,(2.031694+0j)
655,847,2.031595,0.0,(2.031595+0j)
656,848,2.031496,0.0,(2.031496+0j)
657,849,2.031397,0.0,(2.031397+0j)
658,850,2.031299,0.0,(2.031299+0j)
659,851,2.031202,0.0,(2.031202+0j)
660,852,2.031105,0.0,(2.031105+0j)
661,853,2.031008,0.0,(2.031008+0j)
662,854,2.030911,0.0,(2.030911+0j)
663,855,2.030815,0.0,(2.030815+0j)
664,856,2.030719,0.0,(2.030719+0j)
665,857,2.030624,0.0,(2.030624+0j)
666,858,2.030529,0.0,(2.030529+0j)
667,859,2.030434,0.0,(2.030434+0j)
668,860,2.03034,0.0,(2.03034+0j)
669,861,2.030246,0.0,(2.030246+0j)
670,862,2.030153,0.0,(2.030153+0j)
671,863,2.03006,0.0,(2.03006+0j)
672,864,2.029967,0.0,(2.029967+0j)
673,865,2.029875,0.0,(2.029875+0j)
674,866,2.029783,0.0,(2.029783+0j)
675,867,2.029691,0.0,(2.029691+0j)
676,868,2.029599,0.0,(2.029599+0j)
677,869,2.029508,0.0,(2.029508+0j)
678,870,2.029418,0.0,(2.029418+0j)
679,871,2.029328,0.0,(2.029328+0j)
680,872,2.029238,0.0,(2.029238+0j)
681,873,2.029148,0.0,(2.029148+0j)
682,874,2.029059,0.0,(2.029059+0j)
683,875,2.02897,0.0,(2.02897+0j)
684,876,2.028881,0.0,(2.028881+0j)
685,877,2.028793,0.0,(2.028793+0j)
686,878,2.028705,0.0,(2.028705+0j)
687,879,2.028618,0.0,(2.028618+0j)
688,880,2.028531,0.0,(2.028531+0j)
689,881,2.028444,0.0,(2.028444+0j)
690,882,2.028357,0.0,(2.028357+0j)
691,883,2.028271,0.0,(2.028271+0j)
692,884,2.028185,0.0,(2.028185+0j)
693,885,2.0281,0.0,(2.0281+0j)
694,886,2.028014,0.0,(2.028014+0j)
695,887,2.02793,0.0,(2.02793+0j)
696,888,2.027845,0.0,(2.027845+0j)
697,889,2.027761,0.0,(2.027761+0j)
698,890,2.027677,0.0,(2.027677+0j)
699,891,2.027593,0.0,(2.027593+0j)
700,892,2.027509,0.0,(2.027509+0j)
701,893,2.027426,0.0,(2.027426+0j)
702,894,2.027344,0.0,(2.027344+0j)
703,895,2.027261,0.0,(2.027261+0j)
704,896,2.027179,0.0,(2.027179+0j)
705,897,2.027098,0.0,(2.027098+0j)
706,898,2.027016,0.0,(2.027016+0j)
707,899,2.026935,0.0,(2.026935+0j)
708,900,2.026854,0.0,(2.026854+0j)
709,901,2.026773,0.0,(2.026773+0j)
710,902,2.026693,0.0,(2.026693+0j)
711,903,2.026613,0.0,(2.026613+0j)
712,904,2.026534,0.0,(2.026534+0j)
713,905,2.026454,0.0,(2.026454+0j)
714,906,2.026375,0.0,(2.026375+0j)
715,907,2.026296,0.0,(2.026296+0j)
716,908,2.026218,0.0,(2.026218+0j)
717,909,2.026139,0.0,(2.026139+0j)
718,910,2.026062,0.0,(2.026062+0j)
719,911,2.025984,0.0,(2.025984+0j)
720,912,2.025906,0.0,(2.025906+0j)
721,913,2.025829,0.0,(2.025829+0j)
722,914,2.025753,0.0,(2.025753+0j)
