Wavelength,R,G,B
480,6.25215E-05,0.418449109,0.666976811
481,6.82591E-05,0.429557358,0.65494763
482,7.44934E-05,0.440784141,0.642878198
483,8.12646E-05,0.452123458,0.630778821
484,8.86158E-05,0.463569017,0.618659648
485,9.65934E-05,0.475114239,0.60653066
486,0.000105247,0.486752256,0.594401656
487,0.00011463,0.498475918,0.58228224
488,0.0001248,0.510277798,0.570181812
489,0.000135817,0.522150196,0.558109555
490,0.000147748,0.534085148,0.546074427
491,0.000160663,0.546074427,0.534085148
492,0.000174637,0.558109555,0.522150196
493,0.000189751,0.570181812,0.510277798
494,0.00020609,0.58228224,0.498475918
495,0.000223746,0.594401656,0.486752256
496,0.000242818,0.60653066,0.475114239
497,0.00026341,0.618659648,0.463569017
498,0.000285634,0.630778821,0.452123458
499,0.000309609,0.642878198,0.440784141
500,0.000335463,0.65494763,0.429557358
501,0.00036333,0.666976811,0.418449109
502,0.000393354,0.67895529,0.407465098
503,0.00042569,0.690872491,0.396610733
504,0.000460499,0.702717723,0.385891128
505,0.000497955,0.714480195,0.375311099
506,0.000538243,0.726149037,0.364875164
507,0.000581558,0.737713309,0.354587549
508,0.000628107,0.749162023,0.344452183
509,0.000678111,0.760484157,0.334472706
510,0.000731802,0.771668674,0.324652467
511,0.00078943,0.782704538,0.314994532
512,0.000851254,0.793580734,0.30550168
513,0.000917553,0.804286283,0.296176417
514,0.000988621,0.814810262,0.28702097
515,0.001064766,0.825141824,0.2780373
516,0.001146318,0.835270211,0.269227105
517,0.001233623,0.845184781,0.260591821
518,0.001327046,0.854875017,0.252132635
519,0.001426973,0.864330552,0.243850487
520,0.001533811,0.873541186,0.235746077
521,0.001647988,0.882496903,0.227819871
522,0.001769957,0.891187889,0.220072113
523,0.001900193,0.899604551,0.212502824
524,0.002039195,0.907737535,0.205111817
525,0.002187491,0.915577743,0.197898699
526,0.002345633,0.923116346,0.190862883
527,0.002514202,0.930344808,0.184003592
528,0.002693807,0.937254896,0.17731987
529,0.002885088,0.943838696,0.17081059
530,0.003088715,0.950088634,0.164474457
531,0.003305393,0.955997482,0.158310023
532,0.003535856,0.961558378,0.152315691
533,0.003780874,0.966764838,0.146489723
534,0.004041255,0.971610767,0.140830252
535,0.00431784,0.976090472,0.135335283
536,0.00461151,0.980198673,0.130002708
537,0.004923183,0.983930514,0.124830308
538,0.005253819,0.987281572,0.119815766
539,0.005604418,0.990247864,0.11495667
540,0.005976023,0.992825858,0.110250525
541,0.006369719,0.995012479,0.105694756
542,0.006786635,0.996805115,0.101286717
543,0.007227949,0.998201619,0.0970237
544,0.007694881,0.99920032,0.092902939
545,0.008188701,0.99980002,0.088921617
546,0.008710727,1,0.085076877
547,0.009262327,0.99980002,0.08136582
548,0.009844917,0.99920032,0.077785519
549,0.010459967,0.998201619,0.074333021
550,0.011108997,0.996805115,0.071005354
551,0.01179358,0.995012479,0.067799531
552,0.012515342,0.992825858,0.064712558
553,0.013275965,0.990247864,0.061741436
554,0.014077183,0.987281572,0.058883168
555,0.014920786,0.983930514,0.056134763
556,0.015808619,0.980198673,0.053493239
557,0.016742582,0.976090472,0.050955631
558,0.017724631,0.971610767,0.048518991
559,0.01875678,0.966764838,0.046180391
560,0.019841095,0.961558378,0.043936934
561,0.020979699,0.955997482,0.041785746
562,0.022174773,0.950088634,0.03972399
563,0.023428548,0.943838696,0.03774886
564,0.024743313,0.937254896,0.035857591
565,0.02612141,0.930344808,0.034047455
566,0.027565232,0.923116346,0.032315768
567,0.029077227,0.915577743,0.03065989
568,0.03065989,0.907737535,0.029077227
569,0.032315768,0.899604551,0.027565232
570,0.034047455,0.891187889,0.02612141
571,0.035857591,0.882496903,0.024743313
572,0.03774886,0.873541186,0.023428548
573,0.03972399,0.864330552,0.022174773
574,0.041785746,0.854875017,0.020979699
575,0.043936934,0.845184781,0.019841095
576,0.046180391,0.835270211,0.01875678
577,0.048518991,0.825141824,0.017724631
578,0.050955631,0.814810262,0.016742582
579,0.053493239,0.804286283,0.015808619
580,0.056134763,0.793580734,0.014920786
581,0.058883168,0.782704538,0.014077183
582,0.061741436,0.771668674,0.013275965
583,0.064712558,0.760484157,0.012515342
584,0.067799531,0.749162023,0.01179358
585,0.071005354,0.737713309,0.011108997
586,0.074333021,0.726149037,0.010459967
587,0.077785519,0.714480195,0.009844917
588,0.08136582,0.702717723,0.009262327
589,0.085076877,0.690872491,0.008710727
590,0.088921617,0.67895529,0.008188701
591,0.092902939,0.666976811,0.007694881
592,0.0970237,0.65494763,0.007227949
593,0.101286717,0.642878198,0.006786635
594,0.105694756,0.630778821,0.006369719
595,0.110250525,0.618659648,0.005976023
596,0.11495667,0.60653066,0.005604418
597,0.119815766,0.594401656,0.005253819
598,0.124830308,0.58228224,0.004923183
599,0.130002708,0.570181812,0.00461151
600,0.135335283,0.558109555,0.00431784
601,0.140830252,0.546074427,0.004041255
602,0.146489723,0.534085148,0.003780874
603,0.152315691,0.522150196,0.003535856
604,0.158310023,0.510277798,0.003305393
605,0.164474457,0.498475918,0.003088715
606,0.17081059,0.486752256,0.002885088
607,0.17731987,0.475114239,0.002693807
608,0.184003592,0.463569017,0.002514202
609,0.190862883,0.452123458,0.002345633
610,0.197898699,0.440784141,0.002187491
611,0.205111817,0.429557358,0.002039195
612,0.212502824,0.418449109,0.001900193
613,0.220072113,0.407465098,0.001769957
614,0.227819871,0.396610733,0.001647988
615,0.235746077,0.385891128,0.001533811
616,0.243850487,0.375311099,0.001426973
617,0.252132635,0.364875164,0.001327046
618,0.260591821,0.354587549,0.001233623
619,0.269227105,0.344452183,0.001146318
620,0.2780373,0.334472706,0.001064766
621,0.28702097,0.324652467,0.000988621
622,0.296176417,0.314994532,0.000917553
623,0.30550168,0.30550168,0.000851254
624,0.314994532,0.296176417,0.00078943
625,0.324652467,0.28702097,0.000731802
626,0.334472706,0.2780373,0.000678111
627,0.344452183,0.269227105,0.000628107
628,0.354587549,0.260591821,0.000581558
629,0.364875164,0.252132635,0.000538243
630,0.375311099,0.243850487,0.000497955
631,0.385891128,0.235746077,0.000460499
632,0.396610733,0.227819871,0.00042569
633,0.407465098,0.220072113,0.000393354
634,0.418449109,0.212502824,0.00036333
635,0.429557358,0.205111817,0.000335463
636,0.440784141,0.197898699,0.000309609
637,0.452123458,0.190862883,0.000285634
638,0.463569017,0.184003592,0.00026341
639,0.475114239,0.17731987,0.000242818
640,0.486752256,0.17081059,0.000223746
641,0.498475918,0.164474457,0.00020609
642,0.510277798,0.158310023,0.000189751
643,0.522150196,0.152315691,0.000174637
644,0.534085148,0.146489723,0.000160663
645,0.546074427,0.140830252,0.000147748
646,0.558109555,0.135335283,0.000135817
647,0.570181812,0.130002708,0.0001248
648,0.58228224,0.124830308,0.00011463
649,0.594401656,0.119815766,0.000105247
650,0.60653066,0.11495667,9.65934E-05
651,0.618659648,0.110250525,8.86158E-05
652,0.630778821,0.105694756,8.12646E-05
653,0.642878198,0.101286717,7.44934E-05
654,0.65494763,0.0970237,6.82591E-05
655,0.666976811,0.092902939,6.25215E-05
656,0.67895529,0.088921617,5.72433E-05
657,0.690872491,0.085076877,5.23897E-05
658,0.702717723,0.08136582,4.79285E-05
659,0.714480195,0.077785519,4.38297E-05
660,0.726149037,0.074333021,4.00653E-05
661,0.737713309,0.071005354,3.66096E-05
662,0.749162023,0.067799531,3.34386E-05
663,0.760484157,0.064712558,3.053E-05
664,0.771668674,0.061741436,2.78633E-05
665,0.782704538,0.058883168,2.54193E-05
666,0.793580734,0.056134763,2.31805E-05
667,0.804286283,0.053493239,2.11304E-05
668,0.814810262,0.050955631,1.92538E-05
669,0.825141824,0.048518991,1.7537E-05
670,0.835270211,0.046180391,1.59668E-05
671,0.845184781,0.043936934,1.45314E-05
672,0.854875017,0.041785746,1.32197E-05
673,0.864330552,0.03972399,1.20217E-05
674,0.873541186,0.03774886,1.09278E-05
675,0.882496903,0.035857591,9.9295E-06
676,0.891187889,0.034047455,9.01879E-06
677,0.899604551,0.032315768,8.18833E-06
678,0.907737535,0.03065989,7.43137E-06
679,0.915577743,0.029077227,6.74169E-06
680,0.923116346,0.027565232,6.11357E-06
681,0.930344808,0.02612141,5.54175E-06
682,0.937254896,0.024743313,5.02141E-06
683,0.943838696,0.023428548,4.5481E-06
684,0.950088634,0.022174773,4.11777E-06
685,0.955997482,0.020979699,3.72665E-06
686,0.961558378,0.019841095,3.37134E-06
687,0.966764838,0.01875678,3.04869E-06
688,0.971610767,0.017724631,2.75581E-06
689,0.976090472,0.016742582,2.49007E-06
690,0.980198673,0.015808619,2.24906E-06
691,0.983930514,0.014920786,2.03056E-06
692,0.987281572,0.014077183,1.83255E-06
693,0.990247864,0.013275965,1.6532E-06
694,0.992825858,0.012515342,1.4908E-06
695,0.995012479,0.01179358,1.34381E-06
696,0.996805115,0.011108997,1.21084E-06
697,0.998201619,0.010459967,1.09058E-06
698,0.99920032,0.009844917,9.81877E-07
699,0.99980002,0.009262327,8.83654E-07
700,1,0.008710727,7.94939E-07
701,0.99980002,0.008188701,7.14845E-07
702,0.99920032,0.007694881,6.42564E-07
703,0.998201619,0.007227949,5.7736E-07
704,0.996805115,0.006786635,5.18565E-07
705,0.995012479,0.006369719,4.65572E-07
706,0.992825858,0.005976023,4.17826E-07
707,0.990247864,0.005604418,3.74827E-07
708,0.987281572,0.005253819,3.36119E-07
709,0.983930514,0.004923183,3.01288E-07
710,0.980198673,0.00461151,2.69958E-07
711,0.976090472,0.00431784,2.41789E-07
712,0.971610767,0.004041255,2.16473E-07
713,0.966764838,0.003780874,1.9373E-07
714,0.961558378,0.003535856,1.73307E-07
715,0.955997482,0.003305393,1.54975E-07
716,0.950088634,0.003088715,1.38527E-07
717,0.943838696,0.002885088,1.23775E-07
718,0.937254896,0.002693807,1.1055E-07
719,0.930344808,0.002514202,9.86981E-08
720,0.923116346,0.002345633,8.80818E-08
721,0.915577743,0.002187491,7.8576E-08
722,0.907737535,0.002039195,7.0068E-08
723,0.899604551,0.001900193,6.24562E-08
724,0.891187889,0.001769957,5.56491E-08
725,0.882496903,0.001647988,4.95641E-08
726,0.873541186,0.001533811,4.41267E-08
727,0.864330552,0.001426973,3.92702E-08
728,0.854875017,0.001327046,3.49342E-08
729,0.845184781,0.001233623,3.10645E-08
730,0.835270211,0.001146318,2.76124E-08
731,0.825141824,0.001064766,2.45341E-08
732,0.814810262,0.000988621,2.17903E-08
733,0.804286283,0.000917553,1.93456E-08
734,0.793580734,0.000851254,1.71683E-08
735,0.782704538,0.00078943,1.523E-08
736,0.771668674,0.000731802,1.35051E-08
737,0.760484157,0.000678111,1.19707E-08
738,0.749162023,0.000628107,1.06065E-08
739,0.737713309,0.000581558,9.39395E-09
740,0.726149037,0.000538243,8.3167E-09
741,0.714480195,0.000497955,7.36004E-09
742,0.702717723,0.000460499,6.51082E-09
743,0.690872491,0.00042569,5.75728E-09
744,0.67895529,0.000393354,5.08892E-09
745,0.666976811,0.00036333,4.49635E-09
746,0.65494763,0.000335463,3.97119E-09
747,0.642878198,0.000309609,3.50597E-09
748,0.630778821,0.000285634,3.094E-09
749,0.618659648,0.00026341,2.72936E-09
750,0.60653066,0.000242818,2.40672E-09
751,0.594401656,0.000223746,2.12138E-09
752,0.58228224,0.00020609,1.86912E-09
753,0.570181812,0.000189751,1.64619E-09
754,0.558109555,0.000174637,1.44928E-09
755,0.546074427,0.000160663,1.27541E-09
756,0.534085148,0.000147748,1.12195E-09
757,0.522150196,0.000135817,9.86557E-10
758,0.510277798,0.0001248,8.67158E-10
759,0.498475918,0.00011463,7.61904E-10
760,0.486752256,0.000105247,6.69159E-10
761,0.475114239,9.65934E-05,5.87468E-10
762,0.463569017,8.86158E-05,5.15543E-10
763,0.452123458,8.12646E-05,4.52244E-10
764,0.440784141,7.44934E-05,3.96558E-10
765,0.429557358,6.82591E-05,3.47589E-10
766,0.418449109,6.25215E-05,3.04546E-10
767,0.407465098,5.72433E-05,2.66726E-10
768,0.396610733,5.23897E-05,2.33509E-10
769,0.385891128,4.79285E-05,2.04347E-10
770,0.375311099,4.38297E-05,1.78756E-10
771,0.364875164,4.00653E-05,1.56307E-10
772,0.354587549,3.66096E-05,1.36622E-10
773,0.344452183,3.34386E-05,1.19369E-10
774,0.334472706,3.053E-05,1.04253E-10
775,0.324652467,2.78633E-05,9.10147E-11
776,0.314994532,2.54193E-05,7.94256E-11
777,0.30550168,2.31805E-05,6.92845E-11
778,0.296176417,2.11304E-05,6.0414E-11
779,0.28702097,1.92538E-05,5.26582E-11
780,0.2780373,1.7537E-05,4.58796E-11
